M,N,K,bias,dtype,outdtype,scaleAB
1,4096,4096,False,torch.bfloat16,torch.bfloat16,False
32,4096,4096,False,torch.bfloat16,torch.bfloat16,False
64,4096,4096,False,torch.bfloat16,torch.bfloat16,False
128,4096,4096,False,torch.bfloat16,torch.bfloat16,False
256,4096,4096,False,torch.bfloat16,torch.bfloat16,False
512,4096,4096,False,torch.bfloat16,torch.bfloat16,False
1024,4096,4096,False,torch.bfloat16,torch.bfloat16,False
2048,4096,4096,False,torch.bfloat16,torch.bfloat16,False
4096,4096,4096,False,torch.bfloat16,torch.bfloat16,False
8192,4096,4096,False,torch.bfloat16,torch.bfloat16,False
16384,4096,4096,False,torch.bfloat16,torch.bfloat16,False
32768,4096,4096,False,torch.bfloat16,torch.bfloat16,False
1,8192,8192,False,torch.bfloat16,torch.bfloat16,False
32,8192,8192,False,torch.bfloat16,torch.bfloat16,False
64,8192,8192,False,torch.bfloat16,torch.bfloat16,False
128,8192,8192,False,torch.bfloat16,torch.bfloat16,False
256,8192,8192,False,torch.bfloat16,torch.bfloat16,False
512,8192,8192,False,torch.bfloat16,torch.bfloat16,False
1024,8192,8192,False,torch.bfloat16,torch.bfloat16,False
2048,8192,8192,False,torch.bfloat16,torch.bfloat16,False
4096,8192,8192,False,torch.bfloat16,torch.bfloat16,False
8192,8192,8192,False,torch.bfloat16,torch.bfloat16,False
16384,8192,8192,False,torch.bfloat16,torch.bfloat16,False
32768,8192,8192,False,torch.bfloat16,torch.bfloat16,False
